TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.859,108.247,0.005486428845638658,2.976492468760286,-0.02743221399194784,5.151621678074584,-0.2286017832662024,7.404302125117951,-0.6507531228735963,9.54465624608173,-1.4965797209585265,13.269888050925985,-2.3572069729518574,17.23165745607175,-3.1547046090735247,20.311053211046747,-3.5570437476220276,23.6162155062989,-3.721637031573689,26.99523617686395,-4.2717803943956065,31.0810572463622
1.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.853,108.247,0.01942445425975481,2.980993946049008,-0.02743221399194784,5.151621678074584,-0.2286017832662024,7.404302125117951,-0.6492290644760013,9.527730415363745,-1.4965797209585265,13.269888050925985,-2.370927056480313,17.219552604128715,-3.1547046090735247,20.311053211046747,-3.5570437476220276,23.6162155062989,-3.703348888912399,26.958306989207504,-4.28856945407386,31.094376006729753
2.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.866,108.253,0.005486428845638658,2.976492468760286,-0.02743221399194784,5.151621678074584,-0.22491337497723163,7.39825075569896,-0.6675172071372979,9.527730415363745,-1.4745553120909924,13.242091985119142,-2.370927126244043,17.219552604128715,-3.1547046090735247,20.311053211046747,-3.5570437476220276,23.6162155062989,-3.721637031573689,26.99523617686395,-4.2783496260604865,31.087315981825157
2.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.859,108.253,0.028568525590406235,2.980993946049008,-0.02804180944548751,5.151621678074584,-0.23774585459684094,7.404302125117951,-0.6248448277517844,9.524653030016934,-1.465411240760341,13.242091985119142,-2.3571383254436964,17.233620882863747,-3.1455605377428735,20.311053211046747,-3.5478996762913764,23.6162155062989,-3.7124929602430377,26.99523617686395,-4.279425382743209,31.094376006729753
3.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.859,108.247,-0.013339592157017188,2.976492468760286,-0.027970092333307273,5.133157084246356,-0.2657159469301482,7.404302125117951,-0.6680550854786571,9.527730415363745,-1.4933813330936483,13.242091985119142,-2.389753077482969,17.219552604128715,-3.1552424874148848,20.311053211046747,-3.575869768624684,23.6162155062989,-3.722174909915055,26.976771583035728,-4.289107332415223,31.075911412901526
3.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.859,108.247,0.009144071330644987,2.972799606344113,-0.02743221399194784,5.136514244704125,-0.24688992592749237,7.404302125117951,-0.6492290644760013,9.509265821535523,-1.4745553120909924,13.242091985119142,-2.370927126244043,17.219552604128715,-3.1364164664122285,20.292588617218524,-3.5570437476220276,23.59775091247068,-3.703348888912399,26.976771583035728,-4.28856945407386,31.094376006729753
4.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,104.284,101.209,111.853,108.247,0.014131759286222012,2.9828712285910886,-0.008156914582233554,5.151883984850313,-0.24190223797191535,7.414373747364927,-0.6442413765204242,9.519337443782499,-1.4770116929469457,13.242142136146082,-2.365939438288466,17.22962422637569,-3.1314287784566517,20.321124833293723,-3.5520560596664508,23.607822534717656,-3.698361200956822,26.986843205282703,-4.283581766118283,31.10444762897673
4.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.859,108.247,0.0023945701931253893,2.9599971479814204,-0.022444526036370815,5.1499431682825385,-0.24190223797191535,7.414373747364927,-0.6537512190759469,9.54666503419585,-1.4770116929469457,13.242142136146082,-2.365939438288466,17.22962422637569,-3.1388794748223265,20.295137585424765,-3.5520560596664508,23.607822534717656,-3.698361200956822,26.986843205282703,-4.283581766118283,31.10444762897673
5.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.284,111.853,108.247,0.026569515733927185,2.9867351116440677,-0.010006769588665643,5.163710752166448,-0.22946448152421017,7.418237630417906,-0.6413133928645123,9.550528987685663,-1.4645739364992405,13.246006019199061,-2.3356488648409557,17.219859567858204,-3.1189910220089465,20.288059528690255,-3.5396183032187456,23.611686417770635,-3.685923444509117,26.990707088335682,-4.271144009670579,31.108311512029708
5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,101.209,104.29,111.859,108.247,0.03602891911424555,2.973364228018184,-0.00046518453699029294,5.148698267650362,-0.22946448152421017,7.418237630417906,-0.6413133928645123,9.550528987685663,-1.4645739364992405,13.246006019199061,-2.353501612077031,17.23348810942867,-3.1189910220089465,20.288059528690255,-3.5396183032187456,23.611686417770635,-3.685923444509117,26.990707088335682,-4.271144009670579,31.108311512029708
