TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.247,101.19,101.615,101.615,0.10842259992838543,2.822444996225574,0.16843056803576073,4.715642882175699,0.1907192419042163,6.681545106324453,0.15414295658162347,8.62032745828801,0.3187362405332852,12.331710817761095,0.51274958613692,15.228243672509908,0.2821599552106986,17.28022196372521,0.3870119080226424,19.430116190574623,0.7485075930737357,21.434755575075684,0.6479228084366084,24.493723238993624
1.572,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.234,101.365,101.565,101.728,0.06270224327514762,2.840909590053794,0.15414295658162347,4.705833566704454,0.22729552722680912,6.681545106324453,0.17243109924291988,8.601862864459783,0.3187362405332852,12.331710817761095,0.5016176671462431,15.24911664262054,0.2821599552106986,17.28022196372521,0.36555391086114897,19.432454975263465,0.7439355574084163,21.445141909104063,0.6479228084366084,24.499878150560924
2.196,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.215,101.59,101.584,101.784,0.07070330568946592,2.822444996225574,0.15414295658162347,4.705833566704454,0.22729552722680912,6.681545106324453,0.15414295658162347,8.62032745828801,0.30994838279680614,12.334828211230525,0.4833295244849467,15.267581236448764,0.2821599552106986,17.28022196372521,0.3850839176410672,19.444444099485633,0.7493388976542448,21.494345842350985,0.6368536768009543,24.563532411939107
2.809,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.197,101.828,101.603,101.834,0.08115363305950418,2.825082855718321,0.18288142661295814,4.713087574654255,0.23774585459684738,6.6841829658172,0.1539606639608766,8.630265250547364,0.3190264576409505,12.361019725922684,0.5257841015122522,15.265602947484455,0.3108984252420268,17.28285982321796,0.3909090493851981,19.47322226609107,0.7681019917744253,21.492787216053106,0.6425041201706658,24.60421785516376
3.408,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.19,101.909,101.597,101.928,0.07070330568946592,2.822444996225574,0.17243109924291988,4.7104497151615075,0.21885481379987315,6.70000970015268,0.17243109924291988,8.62032745828801,0.3094938023464391,12.37955996891233,0.4761733008143334,15.302101977385972,0.24558366988810576,17.317151151381662,0.30044809787198856,19.514437816940355,0.6479228084366084,21.564007731873257,0.5016176671462431,24.679488277719678
4.048,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.19,101.997,101.597,101.997,0.07070330568946592,2.822444996225574,0.18026891453417804,4.724298160532674,0.24558366988810576,6.718474293980902,0.17243109924291988,8.657256645944459,0.30044809787198856,12.40293140401808,0.4214725385358691,15.333293450852306,0.17504368108542945,17.356718128094023,0.22729552722680912,19.551367004596806,0.574770237791429,21.637866107186152,0.355312525855878,24.709703074023757
4.695,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.19,102.078,101.603,102.009,0.09144071330648229,2.8435474495465414,0.24850356095158976,4.745400613853649,0.2597224055471081,6.733525377882886,0.1898483115263212,8.68539320341453,0.28245017231835745,12.434878101235583,0.4206272812098055,15.344077471254408,0.15714258758598665,17.367660138318346,0.18288142661295814,19.590934051746,0.49377985185498496,21.695897748163574,0.23071192674106533,24.776644199897795
5.241,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.172,102.234,101.584,102.14,0.07315257064518588,2.8250828557183176,0.20116956927425456,4.745400613853647,0.2377458545968476,6.739576747301873,0.17342202323264,8.68026920537289,0.24663731146911894,12.449726890545762,0.3977671028831835,15.357925916625577,0.10972885596777249,17.393647386187308,0.11910503122082772,19.62411409795464,0.4023391385485091,21.714362341991798,0.1382368266424454,24.827818674057113
5.769,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.159,102.234,101.603,102.134,0.09144071330648229,2.8435474495465414,0.27432213991944043,4.763865207681871,0.28215995521069237,6.768592497353751,0.20116956927425456,8.715288286921876,0.24598090455421762,12.506900822176236,0.3794789602218869,15.41331969811025,0.08399001694080721,17.44151858406808,0.059463183156958754,19.67613036273606,0.32918656790332346,21.788220717304696,0.010219828013376508,24.883212455541784
6.342,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,101.147,102.322,101.615,102.172,0.08099038593644403,2.840909590053794,0.2746295189041381,4.779691942017351,0.28662734528431355,6.7725995080566435,0.2090073845655127,8.731115021257356,0.23551188050512795,12.504582252859207,0.355312525855878,15.43376258090278,0.044414100613851204,17.48333249583568,0.02612595795255479,19.704119566346083,0.2638718125494022,21.804047451640173,-0.07234868320970333,24.92172309103084
