TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
1.038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.665,100.565,101.409,100.897,0.03657628532259283,2.799232396184067,0.11887292729842369,4.560754675571404,0.14630514129037153,6.388749464565608,0.05486442798388924,8.27213803504449,0.15766867585735156,11.903388646764228,0.26431537033077457,14.76192012434528,0.05486442798388924,16.618134445401882,0.09144071330648207,18.630775172678334,0.4937798518549912,20.569557524641887,0.4749485288090143,23.57489866728004
1.551,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.665,100.559,101.534,100.89,0.03940380921046116,2.7813439756709535,0.12740740317552257,4.542290081743184,0.136551474506174,6.388749464565617,0.052077646113054765,8.260707545365372,0.1628406795817825,11.891198425376462,0.2563870017208254,14.74203453779592,0.06339890386098812,16.618134445401886,0.10147831846283517,18.643675115621484,0.5206024703933803,20.56955752464189,0.5094705514027034,23.59534246575144
2.062,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.553,101.697,100.853,0.021945715382573283,2.791846530478047,0.11887292729842369,4.560754675571404,0.13817710889144785,6.388749464565608,0.05486442798388924,8.27213803504449,0.15316319478835694,11.891198425376459,0.26309255170983303,14.794782782172764,0.05486442798388924,16.673528226886553,0.09476579210104719,18.701276317096628,0.5486442798388742,20.643415899954785,0.573790475998156,23.683149658926215
2.623,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.553,101.834,100.859,0.02438423672421086,2.78815366806187,0.12496902136133814,4.542290081743184,0.15240123535328598,6.370284870737388,0.05534447219489946,8.251347194284158,0.16040229776759807,11.891198425376462,0.22555380599846542,14.753210468751233,0.06096052204680369,16.67352822688656,0.14543435043992292,18.711667652140335,0.6096048018856779,20.69880968143946,0.7059224183479822,23.722079182276513
3.071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.559,101.997,100.872,0.002777991641135902,2.8061508430491386,0.10058478463712728,4.579219269399632,0.11988896623015144,6.407214058393835,0.05486442798388924,8.272138035044495,0.1360180610433872,11.92812761303291,0.23774585459684738,14.845533437892353,0.03657628532259283,16.72892200837123,0.1463051412903651,18.796956517132354,0.6583731358066465,20.791132650580582,0.8212126991687875,23.83349067473549
3.532,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.553,102.14,100.865,0.03657628532259283,2.799232396184067,0.11887292729842369,4.560754675571404,0.14630514129037153,6.388749464565608,0.03657628532259283,8.27213803504449,0.1576942093817304,11.903581925441081,0.23774585459684738,14.827068844064126,0.09144071330648207,16.765851196027675,0.20116956927425456,18.81542111096058,0.7132375637905358,20.828061838237026,0.9226848784235783,23.87919016410143
4.135,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,102.309,100.859,0.020711874092637306,2.7741384282640347,0.12129665872976458,4.546739435773569,0.14872887272171242,6.3747342247677725,0.05728815941523013,8.258122795246654,0.1567299351360245,11.895647779406847,0.25734932258214127,14.833196778323396,0.07557630207652655,16.75183595622984,0.24016958602818828,18.856799652647414,0.7888138658670625,20.850975786095642,1.019612229866875,23.910321695820684
4.646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,102.509,100.865,0.040341433712140384,2.7984721009807423,0.11349400435732626,4.552608514662056,0.13543971973989954,6.38060330365626,0.0586295763734368,8.24552728030692,0.15807135209423118,11.901516858295334,0.24151100298639494,14.837387276983002,0.07691771903473321,16.79463422277478,0.25979914564769135,18.881133325364125,0.8633078534704486,20.893774052640577,1.1825666243249853,23.983164371964413
5.232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.559,102.697,100.865,0.021410488062861832,2.7917565122021664,0.12504324996771987,4.539738014316178,0.14277718957534757,6.380602176666891,0.06582458867671304,8.24672505869608,0.15742854910624904,11.894801269516758,0.2591563426597092,14.830671688204426,0.09456305870804749,16.806383227824426,0.2835405793839201,18.91750176537246,0.9175294784663558,20.942452245346676,1.2650041890309756,24.029396645554737
5.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.553,102.89,100.865,0.029718231824607422,2.79507789074745,0.11887292729842369,4.560754675571404,0.14630514129037153,6.388749464565608,0.03657628532259283,8.27213803504449,0.1541556535800832,11.907231117019192,0.21945771193555097,14.84553343789235,0.12801699862907512,16.87663875899702,0.34747471056461965,19.00006704924282,0.9692715610486796,21.031172370347495,1.4329416670386246,24.13046977147037
6.235,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,103.059,100.859,0.03962426259032359,2.803540876543277,0.10276197105441565,4.549324185892278,0.1403577834951264,6.386947972058625,0.05486442798388924,8.27213803504449,0.15316319478835694,11.891198425376459,0.2560339972581438,14.882462625548799,0.14630514129037153,16.913567946653473,0.3840509958872125,19.036996236899267,1.042424131693859,21.04963696417572,1.5362039835488503,24.17015332114563
6.716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,103.234,100.872,0.018288142661296414,2.817696990012294,0.10058478463712728,4.579219269399632,0.12801699862907512,6.407214058393835,0.03657628532259283,8.290602628872717,0.12801699862907512,11.909663019204686,0.2560339972581438,14.937856407033475,0.12801699862907512,16.950497134309924,0.4023391385485091,19.092390018383945,1.079000417016452,21.12349533948862,1.6338893876584633,24.22239463161676
7.157,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.559,103.384,100.865,0.027949860852249486,2.8167215807130788,0.0893655214592377,4.572278705368191,0.12801699862907512,6.407214058393835,0.03657628532259283,8.290602628872717,0.1358675109187868,11.92569571084742,0.2268718521078592,14.90491957921812,0.16459328395166173,16.968961728138147,0.43891542387110194,19.129319206040392,1.1521529876616379,21.197353714801515,1.7315545602870186,24.26667277607738
7.649,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,103.553,100.859,0.018288142661296414,2.817696990012294,0.09988142673341183,4.569276828309125,0.12801699862907512,6.407214058393835,0.046124986274501234,8.266418845742141,0.1463051412903651,11.89119842537646,0.21945771193555097,14.937856407033475,0.16459328395166173,17.005890915794595,0.45720356653239835,19.16624839369684,1.2070174156455207,21.215818308629743,1.8471024087908772,24.317870071771427
8.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,103.722,100.859,0.02743221399194784,2.8250828557183176,0.10058478463712728,4.579219269399632,0.12801699862907512,6.407214058393835,0.05486442798388924,8.272138035044495,0.1463051412903651,11.89119842537646,0.2456972452369679,14.929828298260563,0.16459328395166173,17.042820103451046,0.47549170919369477,19.184712987525067,1.2618818436294101,21.289676683942638,1.9365110442338973,24.379418694386565
8.598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.559,103.897,100.865,0.03657628532259283,2.799232396184067,0.11887292729842369,4.560754675571404,0.14630514129037153,6.388749464565608,0.05486442798388924,8.253673441216268,0.15316319478835694,11.891198425376459,0.2528534689075874,14.922603028539674,0.21945771193555097,17.02435550962282,0.5303561371775778,19.22164217518151,1.3350344142745958,21.289676683942638,2.0848482633877183,24.410193040912546
