TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
0.962,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.028,104.628,105.603,108.341,0.040796572272331355,2.9870031942403106,0.044414100613851204,5.133157084246356,-0.10972885596777227,7.404302125117951,-0.5120679945162814,9.527730415363745,-1.29224706426566,13.265242882492666,-2.1284831031620004,16.89974654902717,-3.1821368230654667,19.572469457917776,-4.133120241452843,22.434481501292545,-5.029239231856337,25.314958138495538,-6.821477212663321,28.712443402888812
1.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.034,104.628,105.809,108.322,0.03367690479507868,2.969647135330563,0.027432213991941623,5.133157084246356,-0.11887292729842369,7.385837531289724,-0.5212120658469328,9.527730415363745,-1.3079655297770472,13.249752272736615,-2.145199189980982,16.898796215241426,-3.191280894396118,19.572469457917776,-4.160552455444791,22.434481501292545,-5.056671445848285,25.33342273232376,-6.857037459054189,28.722701541876418
1.996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.065,104.622,105.997,108.316,0.03367690479507868,2.969647135330563,0.04572035665323804,5.133157084246356,-0.1371610699597201,7.404302125117951,-0.494877095765881,9.517390287899515,-1.3136982943455686,13.269888050925985,-2.164146878924928,16.888746710160827,-3.209569037057408,19.55400486408955,-4.197128740767384,22.45294609512077,-5.093247731170875,25.35188732615199,-6.867197569316565,28.767837184373484
2.568,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.147,104.584,106.203,108.322,0.042820976125730104,2.969647135330563,0.0662791691270801,5.127704427929864,-0.10972885596777227,7.385837531289724,-0.49377985185498474,9.509265821535523,-1.316746271613293,13.239113774836834,-2.1880877671589487,16.902846544598205,-3.218713108388053,19.572469457917776,-4.224560954759323,22.45294609512077,-5.120679945162816,25.388816513808436,-6.876341640647212,28.841695559686382
3.103,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.209,104.547,106.44,108.297,0.015009526509444981,2.972370082520703,0.008764835706307927,5.135880031436496,-0.1558284482453538,7.407025072308091,-0.5676774293493854,9.539316359139015,-1.3543616178977913,13.234793461089247,-2.243062142777857,16.890601030294505,-3.291929582607909,19.56627848269066,-4.307236832359494,22.492598229967356,-5.203355822762988,25.428468648655024,-6.92244123292479,28.936741476017644
3.691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.247,104.484,106.865,108.284,0.0386645927506557,2.9797187575775386,0.03241990194751865,5.12476411266511,-0.1687496673267359,7.414373747364927,-0.5630419784554834,9.52746191014649,-1.4071182046098305,13.254460975195634,-2.288228645196062,16.911067932047974,-3.3691746330534924,19.6194702678212,-4.356734336763469,22.51841149885242,-5.21627704184437,25.472746511368307,-6.935362452006172,28.99948393255915
4.186,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.297,104.465,107.115,108.253,0.026459428571455446,2.979652828699427,0.00817128591015881,5.135907079181367,-0.19299828336409552,7.407052120052956,-0.6136255645738946,9.530480410298756,-1.434232226239256,13.244841980054149,-2.362429206560304,16.937090609645235,-3.4198394241510726,19.65933596715329,-4.4175592381234186,22.6218774345098,-5.258813800543022,25.613141634682137,-6.904746640059642,29.17680824352943
4.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.309,104.403,107.309,108.234,0.018288142661296414,2.99126420017234,0.0,5.170086271902811,-0.23774585459684738,7.404302125117951,-0.6502451034077292,9.554401464032589,-1.4630514129036645,13.239113774836838,-2.4323229739523375,16.9320325404817,-3.4747471056461974,19.70172161471535,-4.444018666694873,22.65605662723124,-5.266985086453185,25.68425001506003,-6.858053497985915,29.247916623907322
5.268,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,107.547,108.228,0.03657628532259283,2.972799606344113,-0.018288142661296636,5.151621678074584,-0.26996783684858694,7.415732614797076,-0.6232035662914843,9.544774720839186,-1.465171811646522,13.232156165091187,-2.4210933857427372,16.95514026007501,-3.4747471056461974,19.70172161471535,-4.4623068093561695,22.692985814887688,-5.266985086453185,25.7396437965447,-6.839765355324622,29.340239593048445
5.868,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,107.759,108.228,0.03657628532259283,2.972799606344113,-0.018288142661296636,5.151621678074584,-0.274322139919434,7.404302125117951,-0.6232035662914843,9.544774720839186,-1.481339555564961,13.257578368665062,-2.4140348312910413,16.968961728138147,-3.4551527069455137,19.72150513828995,-4.425730524033577,22.748379596372363,-5.212120658469296,25.8135021718576,-6.730036499356847,29.432562562189567
6.363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,108.015,108.228,0.010933301657620742,2.9702162649621098,-0.00655095356819313,5.2026059727778105,-0.2765187206530504,7.429787721843855,-0.6466359467135432,9.523320928582303,-1.4736663826713163,13.249065654463308,-2.4388739275205307,17.00148142901315,-3.4812980592143905,19.789635097075024,-4.3957051922791806,22.780899297247366,-5.163807184053603,25.88295106038905,-6.626858596957264,29.55740523220569
6.903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,108.215,108.222,0.06400849931453445,2.972799606344111,0.04572035665323804,5.170086271902804,-0.2286017832662024,7.404302125117949,-0.6126527791534084,9.509265821535523,-1.4377395976545804,13.250620758919407,-2.404890759960396,17.00589091579459,-3.4473148916542558,19.830973771512916,-4.361722024719046,22.859167159341702,-5.093247731170875,25.96121892248339,-6.5014347160906505,29.635673094300028
7.406,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,101.315,108.459,108.459,0.03657628532259305,3.0097287940005604,0.018288142661296636,5.207015459559258,-0.23774585459684738,7.4412313127743985,-0.6049154236301877,9.5817038380588,-1.4488272864418266,13.271939735072976,-2.4474513778539597,17.03817979515938,-3.419882677662308,19.849438365341143,-4.334289810727098,22.91456094082638,-5.047527374517634,26.016612703968065,-6.437426216776113,29.746460657269377
8.003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.309,104.422,108.666,108.222,0.030025331754399698,2.9683901195626703,-0.024839096229489765,5.159521873554066,-0.26258495082633715,7.3998926383365085,-0.6466359467135432,9.560250116238752,-1.4717227652147151,13.246211272137966,-2.453836991387262,17.033374805546117,-3.426433631230501,19.8450288785597,-4.340840764295291,22.92861604787316,-5.017502042763237,26.067596998671295,-6.352536457037827,29.815909545800828
8.609,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.309,104.415,108.916,108.222,0.05674518832173825,2.96431013629811,0.026906683830400402,5.18006139568503,-0.22912731342774362,7.395812655071948,-0.6314664519762463,9.556170132974191,-1.4382651278161216,13.242131288873406,-2.4388328366848557,17.048154918941602,-3.411264136493204,19.89634267677981,-4.2708068415741085,22.96146525226505,-4.929179977380755,26.118910796891406,-6.224640079894131,29.916260482841196
9.109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,102.797,104.415,109.184,108.215,0.05325665311293104,2.980347688082496,0.03657628532259305,5.173779134318984,-0.23774585459684738,7.4079949875341295,-0.6217968504840534,9.512958683951704,-1.4447632702423678,13.261271231081238,-2.402805243081441,17.051156162069145,-3.419882677662308,19.94545419689844,-4.261137240081916,23.047505960040127,-4.882934090565972,26.204951504666486,-6.126527791534083,30.008657833280694
9.599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.322,104.415,109.403,108.228,0.018288142661296414,2.994621360630104,0.0,5.191908026188802,-0.256033997258144,7.40765928557572,-0.6583731358066467,9.549552169649742,-1.465171811646522,13.253977919377178,-2.4302908960888825,17.05233217547611,-3.401594535001011,19.945118494940033,-4.242849097420619,23.08409944573817,-4.846357805243379,26.241544990364524,-6.071663363550196,30.082180506635183
10.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,109.616,108.215,0.03657628532259283,2.9912642001723384,0.0,5.207015459559258,-0.256033997258144,7.422766718946177,-0.6400849931453501,9.54619500919197,-1.465171811646522,13.269085352747634,-2.4323229739523375,17.098213884935717,-3.419882677662308,20.01561970979516,-4.224560954759325,23.11767147293685,-4.809781519920789,26.33051079904788,-5.980222650243718,30.189610909146758
10.738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.409,109.872,108.209,0.03657628532259283,2.972799606344111,0.0,5.188550865731031,-0.256033997258144,7.404302125117949,-0.6320381657255949,9.554319405119129,-1.465171811646522,13.250620758919407,-2.4210933857427372,17.084392416872575,-3.419882677662308,20.015619709795157,-4.206272812098029,23.154600660593292,-4.754917091936901,26.367439986704323,-5.870493794275945,30.245004690631433
11.225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.315,104.415,110.122,108.209,0.04476501216470252,2.9656342079334834,0.008188726842109695,5.181385467320403,-0.24784527041603432,7.397136726707322,-0.6230908281073517,9.547920007295511,-1.4569830848044123,13.24345536050878,-2.4130267454242826,17.076775307035327,-3.3825684316270097,20.01939625117202,-4.161507799933327,23.184364449839116,-4.673575794449608,26.397203775950146,-5.78915249678865,30.3116976675337
11.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.334,104.372,110.322,108.222,0.03657628532259283,2.976156766801882,0.0,5.191908026188802,-0.256033997258144,7.40765928557572,-0.6555595646643388,9.565176045898726,-1.4630514129036645,13.22400634146638,-2.44728596805534,17.114999828098224,-3.383306392339721,20.055906057909375,-4.133120241452843,23.213351602535738,-4.626900093307832,26.42619092864677,-5.687612367662987,30.396078601714997
12.303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.365,110.559,108.215,0.03657628532259305,3.0097287940005604,0.018288142661296636,5.207015459559258,-0.25603399725813736,7.4412313127743985,-0.6503263083868915,9.57278406938419,-1.4813395555649544,13.276042962493285,-2.462079924645872,17.144218858857602,-3.3833063923397146,20.071013491279835,-4.114832098791547,23.265388223562642,-4.6086119506465355,26.533621331158344,-5.632747939679098,30.485044410398352
12.836,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.365,110.822,108.209,0.03657628532259283,2.9912642001723384,-0.018288142661296636,5.188550865731031,-0.274322139919434,7.4412313127743985,-0.6597798516140772,9.581703908495633,-1.499627698226251,13.257578368665062,-2.4576696710653296,17.139786268794087,-3.4185764216229204,20.090797014854434,-4.133120241452843,23.320782005047313,-4.590323807985238,26.55208592498657,-5.559595369033915,30.540438191883023
13.312,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.365,111.047,108.203,0.034968510451634405,2.995119419494543,0.0,5.188550865731031,-0.274322139919434,7.4412313127743985,-0.6597798516140772,9.581703908495633,-1.499627698226251,13.257578368665062,-2.466867181411475,17.141297984159465,-3.4124319115329094,20.133929856368404,-4.114832098791547,23.33924659887554,-4.524175236556607,26.59844385789158,-5.486442798388732,30.61429656719592
